steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
122,Fable - The Lost Chapters,December,2011,2.49,"500,000","1,000,000","750,000",Lionhead Studios,Xbox Game Studios
123,Everhood,March,2021,9.99,"200,000","500,000","350,000","Chris Nordgren, Jordi Roca","Foreign Gnomes, Surefire.Games"
124,The Riftbreaker,October,2021,20.99,"1,000,000","2,000,000","1,500,000",EXOR Studios,"EXOR Studios, Surefire.Games"
125,Yakuza: Like a Dragon,November,2020,59.99,"200,000","500,000","350,000",Ryu Ga Gotoku Studio,SEGA
126,Orcs Must Die! 2,July,2012,14.99,"2,000,000","5,000,000","3,500,000",Robot Entertainment,Robot Entertainment
127,Pathfinder: Wrath of the Righteous,September,2021,49.99,"1,000,000","2,000,000","1,500,000",Owlcat Games,"META Publishing, Owlcat Games"
128,Transistor,May,2014,19.99,"1,000,000","2,000,000","1,500,000",Supergiant Games,Supergiant Games
129,Deus Ex: Mankind Divided,August,2016,29.99,"2,000,000","5,000,000","3,500,000","Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)","Square Enix, Feral Interactive (Linux), Feral Interactive (Mac)"
130,FINAL FANTASY XIV Online,February,2014,19.99,"2,000,000","5,000,000","3,500,000",Square Enix,Square Enix
131,Grim Dawn,February,2016,24.99,"5,000,000","10,000,000","7,500,000",Crate Entertainment,Crate Entertainment
132,Terraria,May,2011,9.99,"20,000,000","50,000,000","35,000,000",Re-Logic,Re-Logic
133,Puzzle Quest 2,August,2010,4.99,"50,000","100,000","75,000",Infinite Interactive,"Namco Networks America, Inc."
134,DarkMaus,January,2016,9.99,"20,000","50,000","35,000",Daniel Wright,Daniel Wright
135,Gerda: A Flame in Winter,September,2022,19.99,"20,000","20,000","20,000",PortaPlay,DON'T NOD
136,Rainbow Billy: The Curse of the Leviathan,October,2021,19.99,"20,000","20,000","20,000",ManaVoid Entertainment,Skybound Games
137,Dragon Age: Origins Awakening,March,2010,9.99,"100,000","200,000","150,000",BioWare,Electronic Arts
138,Avadon 2: The Corruption,October,2013,9.99,"100,000","200,000","150,000",Spiderweb Software,Spiderweb Software
139,Creepy Castle,October,2016,9.99,"20,000","20,000","20,000",Dopterra,"Nicalis, Inc."
140,Batbarian: Testament of the Primordials,October,2020,19.99,"20,000","20,000","20,000",Unspeakable Pixels,DANGEN Entertainment
141,Demeo: PC Edition,April,2022,29.99,"20,000","50,000","35,000",Resolution Games,Resolution Games
142,Jimmy and the Pulsating Mass,August,2018,14.99,"20,000","50,000","35,000",Kasey Ozymy,Kasey Ozymy
143,Age of Wonders Shadow Magic,October,2010,9.99,"100,000","200,000","150,000",Triumph Studios,Paradox Interactive
144,King's Bounty: Armored Princess,November,2009,9.99,"500,000","1,000,000","750,000",Katauri Interactive,Fulqrum Publishing
145,Desktop Dungeons,November,2013,14.99,"100,000","200,000","150,000",QCF Design,QCF Design
146,Citizen Sleeper,May,2022,15.99,"50,000","100,000","75,000",Jump Over The Age,Fellow Traveller
147,The Banner Saga 3,July,2018,24.99,"100,000","200,000","150,000",Stoic,Stoic Studio
148,Dragon Age II: Ultimate Edition,June,2020,29.99,"500,000","1,000,000","750,000",BioWare,Electronic Arts
149,The Banner Saga 2,April,2016,24.99,"200,000","500,000","350,000",Stoic,Stoic Studio
150,WildStar,June,2014,0,"1,000,000","2,000,000","1,500,000",Carbine Studios,NCSOFT
151,The Life and Suffering of Sir Brante,March,2021,19.99,"100,000","200,000","150,000",Sever,101XP
152,Fell Seal: Arbiter's Mark,April,2019,29.99,"200,000","500,000","350,000",6 Eyes Studio,Fulqrum Publishing
153,Tainted Grail: Conquest,May,2021,19.99,"100,000","200,000","150,000",Awaken Realms Digital,Awaken Realms
154,Legend of Grimrock,April,2012,14.99,"500,000","1,000,000","750,000",Almost Human Games,Almost Human Games
155,Recettear: An Item Shop's Tale,September,2010,19.99,"500,000","1,000,000","750,000",EasyGameStation,Carpe Fulgur LLC
156,Pyre,July,2017,19.99,"500,000","1,000,000","750,000",Supergiant Games,Supergiant Games
157,Gloomhaven,October,2021,34.99,"200,000","500,000","350,000",Flaming Fowl Studios,Twin Sails Interactive
158,Yakuza Kiwami 2,May,2019,19.99,"200,000","500,000","350,000",SEGA,SEGA
159,Eastward,September,2021,24.99,"200,000","500,000","350,000",Pixpil,Chucklefish
160,Monster Hunter Stories 2: Wings of Ruin,July,2021,29.99,"1,000,000","2,000,000","1,500,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
161,Children of Morta,September,2019,7.47,"1,000,000","2,000,000","1,500,000",Dead Mage,11 bit studios
